pub_date,opinion_type_id,opinion_type,qmt_code
3/21/2023,1,无保留,600855.SH
3/21/2023,1,无保留,600872.SH
3/21/2023,1,无保留,002254.SZ
3/21/2023,1,无保留,002207.SZ
3/21/2023,1,无保留,002262.SZ
3/21/2023,1,无保留,002283.SZ
3/21/2023,1,无保留,002756.SZ
3/21/2023,1,无保留,002318.SZ
3/21/2023,1,无保留,300125.SZ
3/21/2023,1,无保留,300122.SZ
3/21/2023,1,无保留,300204.SZ
3/21/2023,1,无保留,300304.SZ
3/21/2023,1,无保留,300317.SZ
3/21/2023,1,无保留,002715.SZ
3/21/2023,1,无保留,601882.SH
3/21/2023,1,无保留,603558.SH
3/21/2023,1,无保留,603306.SH
3/21/2023,1,无保留,002772.SZ
3/21/2023,1,无保留,300556.SZ
3/21/2023,1,无保留,300458.SZ
3/21/2023,1,无保留,603039.SH
3/21/2023,1,无保留,002871.SZ
3/21/2023,1,无保留,001979.SZ
3/21/2023,1,无保留,603392.SH
3/21/2023,1,无保留,300732.SZ
3/21/2023,1,无保留,603259.SH
3/21/2023,1,无保留,605111.SH
3/21/2023,1,无保留,003000.SZ
3/21/2023,1,无保留,605028.SH
3/21/2023,1,无保留,688676.SH
3/21/2023,1,无保留,688686.SH
3/21/2023,1,无保留,003038.SZ
3/21/2023,1,无保留,688689.SH
3/21/2023,1,无保留,301052.SZ
3/21/2023,1,无保留,301003.SZ
3/21/2023,1,无保留,301133.SZ
3/21/2023,1,无保留,301361.SZ
3/21/2023,1,无保留,001286.SZ
3/21/2023,1,无保留,601065.SH
3/21/2023,1,无保留,601133.SH
3/21/2023,1,无保留,001360.SZ
3/21/2023,1,无保留,603273.SH
3/21/2023,1,无保留,688290.SH
3/21/2023,1,无保留,688205.SH
3/21/2023,1,无保留,688419.SH
3/21/2023,1,无保留,688591.SH
3/22/2023,11,无保留带持续经营重大不确定性,000697.SZ
3/22/2023,1,无保留,000697.SZ
3/22/2023,1,无保留,000786.SZ
3/22/2023,1,无保留,000807.SZ
3/22/2023,1,无保留,000877.SZ
3/22/2023,1,无保留,600011.SH
3/22/2023,1,无保留,600210.SH
3/22/2023,1,无保留,600313.SH
3/22/2023,1,无保留,600449.SH
3/22/2023,1,无保留,600702.SH
3/22/2023,1,无保留,600714.SH
3/22/2023,1,无保留,600720.SH
3/22/2023,1,无保留,002003.SZ
3/22/2023,1,无保留,600970.SH
3/22/2023,1,无保留,601600.SH
3/22/2023,1,无保留,002421.SZ
3/22/2023,1,无保留,300152.SZ
3/22/2023,1,无保留,300114.SZ
3/22/2023,1,无保留,002478.SZ
3/22/2023,2,无保留带解释性说明,300201.SZ
3/22/2023,1,无保留,300239.SZ
3/22/2023,1,无保留,002911.SZ
3/22/2023,6,未经审计,601038.SH
3/22/2023,1,无保留,603688.SH
3/22/2023,1,无保留,603318.SH
3/22/2023,1,无保留,603678.SH
3/22/2023,1,无保留,003036.SZ
3/22/2023,1,无保留,603912.SH
3/22/2023,1,无保留,603596.SH
3/22/2023,1,无保留,603516.SH
3/22/2023,1,无保留,603713.SH
3/22/2023,1,无保留,688111.SH
3/22/2023,1,无保留,605228.SH
3/22/2023,1,无保留,688336.SH
3/22/2023,1,无保留,688519.SH
3/22/2023,1,无保留,688131.SH
3/22/2023,1,无保留,001288.SZ
3/22/2023,1,无保留,688385.SH
3/22/2023,1,无保留,603122.SH
3/22/2023,1,无保留,603219.SH
3/22/2023,1,无保留,301308.SZ
3/22/2023,1,无保留,688295.SH
3/23/2023,1,无保留,000099.SZ
3/23/2023,1,无保留,000856.SZ
3/23/2023,2,无保留带解释性说明,600185.SH
3/23/2023,6,未经审计,600185.SH
3/23/2023,1,无保留,600422.SH
3/23/2023,1,无保留,600511.SH
3/23/2023,1,无保留,600600.SH
3/23/2023,1,无保留,600688.SH
3/23/2023,1,无保留,600727.SH
3/23/2023,1,无保留,600785.SH
3/23/2023,1,无保留,600882.SH
3/23/2023,1,无保留,002022.SZ
3/23/2023,1,无保留,002107.SZ
3/23/2023,1,无保留,601008.SH
3/23/2023,1,无保留,002407.SZ
3/23/2023,1,无保留,002459.SZ
3/23/2023,1,无保留,300388.SZ
3/23/2023,1,无保留,603866.SH
3/23/2023,1,无保留,603919.SH
3/23/2023,1,无保留,300453.SZ
3/23/2023,1,无保留,300693.SZ
3/23/2023,1,无保留,603083.SH
3/23/2023,1,无保留,600933.SH
3/23/2023,1,无保留,605058.SH
3/23/2023,1,无保留,688589.SH
3/23/2023,1,无保留,301193.SZ
3/23/2023,1,无保留,601728.SH
3/23/2023,1,无保留,688573.SH
3/24/2023,1,无保留,000532.SZ
3/24/2023,1,无保留,000822.SZ
3/24/2023,1,无保留,000919.SZ
3/24/2023,1,无保留,000932.SZ
3/24/2023,1,无保留,600079.SH
3/24/2023,2,无保留带解释性说明,600310.SH
3/24/2023,1,无保留,600310.SH
3/24/2023,1,无保留,600318.SH
3/24/2023,1,无保留,600403.SH
3/24/2023,1,无保留,600495.SH
